district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Юго-Восточный АО,55.699335,37.765248,920769,preset_missing,district,Юго-Восточный АО,23,0.025,24,0.026,3,0.003,8,0.009,40,0.043,28,0.03,10,0.011,16,0.017,5,0.005,1,0.001,1,0.001,10,0.011,0,0.0,35,0.038,37,0.04,10,0.011,9,0.01,142,0.154,9,0.01,78,0.085,78,0.085,2,6.9,8.1,1.7,45.8,27.7,421,4.04,0.97,0.952,0.012,Медицина,ЖКХ,Магазины,69.5,46.2,97.9,62.5,82.4,94.5,83.0,91.6,78.3,A,0,1.4942478400583794,0.56196018669761
Зеленоградский АО,55.7558,37.6173,920769,preset_missing,district,Зеленоградский АО,3,0.003,3,0.003,2,0.002,74,0.08,56,0.061,329,0.357,355,0.386,67,0.073,11,0.012,9,0.01,34,0.037,14,0.015,12,0.013,41,0.045,16,0.017,6,0.007,45,0.049,78,0.085,44,0.048,26,0.028,108,0.117,2,6.9,8.1,1.7,51.2,61.3,2782,3.81,0.875,0.858,0.108,Медицина,Транспорт,Магазины,69.7,48.2,93.9,62.9,84.1,90.7,100.0,81.8,78.0,A,0,1.514806017319393,1.4068369426337886
Центральный АО,55.753848,37.595464,1791946,preset,district,Центральный АО,5,0.003,8,0.004,1,0.001,82,0.046,59,0.033,229,0.128,310,0.173,64,0.036,14,0.008,5,0.003,49,0.027,20,0.011,16,0.009,55,0.031,17,0.009,7,0.004,49,0.027,129,0.072,38,0.021,37,0.021,108,0.06,2,6.8,8.0,1.5,49.2,56.2,2181,3.87,0.893,0.87,0.083,Медицина,Транспорт,Магазины,69.4,48.3,83.3,62.2,85.6,91.7,100.0,83.9,77.4,A,0,1.4622734644359872,1.3841296199223765
Троицкий АО,55.7658,37.6073,1396858,preset_missing,district,Троицкий АО,3,0.002,14,0.01,2,0.001,109,0.078,74,0.053,334,0.239,377,0.27,92,0.066,10,0.007,6,0.004,49,0.035,21,0.015,16,0.011,61,0.044,29,0.021,7,0.005,49,0.035,163,0.117,48,0.034,38,0.027,102,0.073,2,6.9,8.1,1.7,50.8,51.6,3104,3.78,0.856,0.84,0.129,Медицина,Освещение,Магазины,69.7,48.3,93.9,62.4,83.7,89.8,100.0,79.9,77.4,A,0,1.4051888544292566,1.4867734710935057
Северо-Восточный АО,55.870168,37.643601,1396858,preset_missing,district,Северо-Восточный АО,15,0.011,24,0.017,3,0.002,10,0.007,50,0.036,22,0.016,7,0.005,17,0.012,3,0.002,0,0.0,1,0.001,9,0.006,0,0.0,36,0.026,44,0.031,7,0.005,16,0.011,150,0.107,13,0.009,92,0.066,92,0.066,2,7.5,8.8,1.8,50.0,36.8,452,4.02,0.963,0.949,0.022,Медицина,Освещение,Магазины,69.4,38.3,98.3,62.3,81.8,94.1,78.0,90.8,76.8,A,0,1.1218572962156823,-0.055510779847801416
Восточный АО,55.786904,37.752727,519069,preset,district,Восточный АО,3,0.006,9,0.017,0,0.0,6,0.012,22,0.042,32,0.062,15,0.029,5,0.01,2,0.004,1,0.002,3,0.006,6,0.012,1,0.002,21,0.04,21,0.04,3,0.006,6,0.012,65,0.125,5,0.01,52,0.1,60,0.116,2,6.9,8.1,1.7,47.7,32.1,311,4.04,0.958,0.932,0.016,Медицина,Освещение,Транспорт,66.6,31.8,70.8,62.9,80.8,94.2,87.6,90.7,73.9,A,2,0.5028038773470141,-0.54406538168033
Юго-Западный АО,55.615184,37.531753,1094343,preset_missing,district,Юго-Западный АО,10,0.009,16,0.015,0,0.0,5,0.005,23,0.021,16,0.015,6,0.005,10,0.009,1,0.001,1,0.001,1,0.001,6,0.005,0,0.0,22,0.02,20,0.018,6,0.005,4,0.004,123,0.112,11,0.01,69,0.063,58,0.053,2,6.8,8.0,1.5,42.2,46.7,288,4.04,0.962,0.941,0.017,Медицина,Детская инфраструктура,Магазины,69.0,25.5,69.1,62.1,86.3,94.2,79.7,90.9,73.2,A,2,0.5073826075298438,-0.7972602166653288
Южный АО,55.647965,37.644083,1282795,preset_missing,district,Южный АО,6,0.005,8,0.006,3,0.002,3,0.002,20,0.016,20,0.016,8,0.006,8,0.006,2,0.002,0,0.0,0,0.0,7,0.005,0,0.0,23,0.018,11,0.009,4,0.003,5,0.004,32,0.025,4,0.003,30,0.023,64,0.05,2,6.9,8.1,1.7,48.6,23.2,415,4.09,0.953,0.937,0.031,Медицина,Магазины,Транспорт,68.7,31.7,87.3,62.1,75.6,93.7,67.0,90.4,72.9,A,3,0.17590618405694697,-1.0178056349851359
Северный АО,55.833814,37.525802,760420,preset,district,Северный АО,12,0.016,7,0.009,1,0.001,15,0.02,33,0.043,14,0.018,5,0.007,6,0.008,1,0.001,0,0.0,1,0.001,9,0.012,1,0.001,28,0.037,35,0.046,2,0.003,14,0.018,103,0.135,7,0.009,50,0.066,67,0.088,2,7.5,8.7,1.6,52.1,14.4,252,4.01,0.95,0.933,0.032,Магазины,Транспорт,Озеленение,67.9,25.5,83.3,62.5,71.8,93.7,76.6,89.7,72.2,A,3,-0.12962114994259089,-1.561795904315339
Западный АО,55.696042,37.472935,451293,preset,district,Западный АО,9,0.02,13,0.029,0,0.0,8,0.018,32,0.071,10,0.022,6,0.013,3,0.007,2,0.004,0,0.0,1,0.002,7,0.016,0,0.0,18,0.04,14,0.031,4,0.009,3,0.007,159,0.352,6,0.013,59,0.131,85,0.188,2,6.8,8.0,1.5,46.1,41.3,313,4.04,0.979,0.962,0.003,Магазины,Транспорт,Озеленение,62.6,32.2,72.3,63.7,79.3,94.8,69.9,92.4,72.0,A,2,0.1075336888087885,-0.8352061087598828
