district,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct
Центральный АО,2,6.8,8.0,1.5,49.2,56.2
Северный АО,2,7.5,8.7,1.6,52.1,14.4
Восточный АО,2,6.9,8.1,1.7,47.7,32.1
Западный АО,2,6.8,8.0,1.5,46.1,41.3
Зеленоградский АО,2,6.9,8.1,1.7,51.2,61.3
Северо-Восточный АО,2,7.5,8.8,1.8,50.0,36.8
Юго-Восточный АО,2,6.9,8.1,1.7,45.8,27.7
Южный АО,2,6.9,8.1,1.7,48.6,23.2
Юго-Западный АО,2,6.8,8.0,1.5,42.2,46.7
Северо-Западный АО,2,7.5,8.7,1.6,51.8,18.8
Новомосковский АО,2,6.2,7.4,1.2,37.7,10.0
Троицкий АО,2,6.9,8.1,1.7,50.8,51.6
