district,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3
Центральный АО,2181,3.87,0.893,0.87,0.083,Медицина,Транспорт,Магазины
Северный АО,252,4.01,0.95,0.933,0.032,Магазины,Транспорт,Озеленение
Восточный АО,311,4.04,0.958,0.932,0.016,Медицина,Освещение,Транспорт
Западный АО,313,4.04,0.979,0.962,0.003,Магазины,Транспорт,Озеленение
Зеленоградский АО,2782,3.81,0.875,0.858,0.108,Медицина,Транспорт,Магазины
Северо-Восточный АО,452,4.02,0.963,0.949,0.022,Медицина,Освещение,Магазины
Юго-Восточный АО,421,4.04,0.97,0.952,0.012,Медицина,ЖКХ,Магазины
Южный АО,415,4.09,0.953,0.937,0.031,Медицина,Магазины,Транспорт
Юго-Западный АО,288,4.04,0.962,0.941,0.017,Медицина,Детская инфраструктура,Магазины
Северо-Западный АО,373,4.01,0.906,0.885,0.072,Медицина,Озеленение,Транспорт
Новомосковский АО,9,1.78,0.5,0.111,0.111,Магазины,Транспорт,Озеленение
Троицкий АО,3104,3.78,0.856,0.84,0.129,Медицина,Освещение,Магазины
