district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Центральный,55.033473,82.928119,269792,preset,district,Центральный,25,0.093,26,0.096,11,0.041,20,0.074,57,0.211,134,0.497,54,0.2,50,0.185,7,0.026,3,0.011,12,0.044,21,0.078,3,0.011,56,0.208,10,0.037,9,0.033,19,0.07,76,0.282,10,0.037,29,0.107,70,0.259,3,1.4,1.7,1.6,48.5,37.0,1615,3.7,0.817,0.807,0.173,Медицина,ЖКХ,Освещение,71.9,50.5,100.0,64.6,78.2,88.1,99.1,76.0,77.3,A,2,4.212133774649232,2.0767512502653913
Железнодорожный,55.028108,82.899107,200594,preset,district,Железнодорожный,17,0.085,15,0.075,7,0.035,8,0.04,31,0.155,87,0.434,39,0.194,34,0.169,2,0.01,3,0.015,7,0.035,14,0.07,2,0.01,39,0.194,5,0.025,3,0.015,13,0.065,45,0.224,4,0.02,21,0.105,48,0.239,3,1.4,1.7,1.6,55.7,18.3,860,3.69,0.811,0.797,0.174,Медицина,Магазины,Безопасность,71.3,33.9,99.5,64.3,65.0,88.0,95.3,75.5,73.4,A,2,3.1452232138384026,0.21595669814567825
Ленинский,54.992681,82.83309,240982,preset,district,Ленинский,12,0.05,15,0.062,5,0.021,1,0.004,14,0.058,2,0.008,1,0.004,1,0.004,1,0.004,0,0.0,1,0.004,8,0.033,0,0.0,18,0.075,5,0.021,2,0.008,2,0.008,45,0.187,5,0.021,26,0.108,34,0.141,3,1.3,1.5,1.3,49.9,26.6,111,4.06,0.973,0.946,0.0,Медицина,Магазины,ЖКХ,56.8,26.9,77.0,63.1,63.6,92.3,56.0,92.1,67.4,B,0,1.993496369083164,-1.3513686703217969
Кировский,54.965622,82.923595,119818,preset,district,Кировский,2,0.017,6,0.05,2,0.017,0,0.0,2,0.017,9,0.075,3,0.025,2,0.017,0,0.0,0,0.0,0,0.0,2,0.017,0,0.0,17,0.142,1,0.008,1,0.008,0,0.0,19,0.159,2,0.017,10,0.083,25,0.209,3,1.3,1.5,1.3,53.5,23.9,164,4.05,0.982,0.963,0.0,Медицина,Магазины,Транспорт,53.9,21.4,44.2,63.2,53.9,88.9,47.9,92.7,61.0,B,0,0.8470745985407774,-2.6010098823049543
Октябрьский,55.012217,82.997263,87238,preset,district,Октябрьский,2,0.023,6,0.069,0,0.0,1,0.011,1,0.011,2,0.023,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.08,6,0.069,1,0.011,2,0.023,30,0.344,1,0.011,8,0.092,8,0.092,3,1.4,1.7,1.6,38.9,32.2,156,3.77,0.849,0.827,0.128,Магазины,Транспорт,Озеленение,38.1,21.8,24.9,37.6,74.5,66.0,41.5,79.4,50.0,C,1,-0.6859631258672737,0.2819889680492524
Первомайский,54.946353,83.090726,235059,preset_missing,district,Первомайский,1,0.004,0,0.0,1,0.004,0,0.0,2,0.009,0,0.0,1,0.004,0,0.0,0,0.0,0,0.0,0,0.0,2,0.009,0,0.0,1,0.004,4,0.017,1,0.004,0,0.0,8,0.034,3,0.013,8,0.034,11,0.047,3,1.3,1.5,1.1,38.0,29.4,27,3.96,0.926,0.852,0.0,Магазины,Транспорт,Озеленение,43.0,20.5,33.6,46.0,68.2,58.3,37.2,70.5,49.2,C,1,-0.881239695959233,0.10135743531602341
Калининский,55.174269,82.975761,43888,preset_missing,district,Калининский,3,0.068,5,0.114,0,0.0,1,0.023,3,0.068,2,0.046,0,0.0,1,0.023,1,0.023,0,0.0,0,0.0,3,0.068,1,0.023,9,0.205,4,0.091,2,0.046,1,0.023,4,0.091,3,0.068,3,0.068,5,0.114,3,1.4,1.7,1.6,46.2,12.8,31,4.0,0.903,0.839,0.032,Магазины,Транспорт,Озеленение,54.8,28.0,30.5,28.9,58.6,62.4,35.2,72.4,48.2,C,1,-0.8595502408787565,-0.3221371806512668
Советский,54.857261,83.024989,374802,preset_missing,district,Советский,0,0.0,1,0.003,0,0.0,0,0.0,6,0.016,2,0.005,1,0.003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.021,2,0.005,1,0.003,1,0.003,15,0.04,0,0.0,6,0.016,3,0.008,3,1.3,1.5,1.1,44.6,21.1,64,3.56,0.719,0.688,0.25,Медицина,Магазины,Транспорт,36.9,20.5,35.7,22.8,63.3,58.4,37.1,66.8,43.7,C,1,-1.7363714356621869,0.18779890133366164
Дзержинский,55.06725,83.015363,39850,preset,district,Дзержинский,1,0.025,3,0.075,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.025,0,0.0,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.075,3,1.4,1.6,1.4,38.8,15.5,19,3.32,0.789,0.632,0.053,Медицина,Мусор и чистота,Магазины,31.0,22.0,39.4,23.5,62.8,37.7,19.6,58.8,38.2,C,3,-2.624818443743958,0.7803433857391728
Заельцовский,55.083246,82.868573,25243,preset,district,Заельцовский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,4,0.158,3,1.4,1.7,1.6,39.0,3.0,15,2.73,0.633,0.4,0.133,ЖКХ,Магазины,Транспорт,25.4,20.4,18.3,26.8,58.7,31.4,20.6,52.0,33.3,D,3,-3.409985014000166,0.6303190944288385
