district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Дзержинский,55.06725,83.015363,39850,preset,district,Дзержинский,1,0.025,3,0.075,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.025,0,0.0,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.075
Железнодорожный,55.028108,82.899107,200594,preset,district,Железнодорожный,17,0.085,15,0.075,7,0.035,8,0.04,31,0.155,87,0.434,39,0.194,34,0.169,2,0.01,3,0.015,7,0.035,14,0.07,2,0.01,39,0.194,5,0.025,3,0.015,13,0.065,45,0.224,4,0.02,21,0.105,48,0.239
Заельцовский,55.083246,82.868573,25243,preset,district,Заельцовский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,4,0.158
Кировский,54.965622,82.923595,119818,preset,district,Кировский,2,0.017,6,0.05,2,0.017,0,0.0,2,0.017,9,0.075,3,0.025,2,0.017,0,0.0,0,0.0,0,0.0,2,0.017,0,0.0,17,0.142,1,0.008,1,0.008,0,0.0,19,0.159,2,0.017,10,0.083,25,0.209
Ленинский,54.992681,82.83309,240982,preset,district,Ленинский,12,0.05,15,0.062,5,0.021,1,0.004,14,0.058,2,0.008,1,0.004,1,0.004,1,0.004,0,0.0,1,0.004,8,0.033,0,0.0,18,0.075,5,0.021,2,0.008,2,0.008,45,0.187,5,0.021,26,0.108,34,0.141
Октябрьский,55.012217,82.997263,87238,preset,district,Октябрьский,2,0.023,6,0.069,0,0.0,1,0.011,1,0.011,2,0.023,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.08,6,0.069,1,0.011,2,0.023,30,0.344,1,0.011,8,0.092,8,0.092
Центральный,55.033473,82.928119,269792,preset,district,Центральный,25,0.093,26,0.096,11,0.041,20,0.074,57,0.211,134,0.497,54,0.2,50,0.185,7,0.026,3,0.011,12,0.044,21,0.078,3,0.011,56,0.208,10,0.037,9,0.033,19,0.07,76,0.282,10,0.037,29,0.107,70,0.259
Калининский,55.174269,82.975761,43888,preset_missing,district,Калининский,3,0.068,5,0.114,0,0.0,1,0.023,3,0.068,2,0.046,0,0.0,1,0.023,1,0.023,0,0.0,0,0.0,3,0.068,1,0.023,9,0.205,4,0.091,2,0.046,1,0.023,4,0.091,3,0.068,3,0.068,5,0.114
Первомайский,54.946353,83.090726,235059,preset_missing,district,Первомайский,1,0.004,0,0.0,1,0.004,0,0.0,2,0.009,0,0.0,1,0.004,0,0.0,0,0.0,0,0.0,0,0.0,2,0.009,0,0.0,1,0.004,4,0.017,1,0.004,0,0.0,8,0.034,3,0.013,8,0.034,11,0.047
Советский,54.857261,83.024989,374802,preset_missing,district,Советский,0,0.0,1,0.003,0,0.0,0,0.0,6,0.016,2,0.005,1,0.003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.021,2,0.005,1,0.003,1,0.003,15,0.04,0,0.0,6,0.016,3,0.008
