district,text,rating,source,lat,lon
Железнодорожный,"Teboil — работает (Mo-Su 00:10-03:45,04:00-23:55)",4,osm_active,54.586122981251165,39.693011577559304
Железнодорожный,Фасоль — работает (Mo-Su 08:00-21:00),4,osm_active,54.58453758561305,39.694948251008405
Железнодорожный,Пятёрочка — работает (Mo-Su 09:00-22:00),4,osm_active,54.58487716925518,39.69018949601841
Железнодорожный,"Teboil — работает (Mo-Su 00:10-03:45,04:00-23:55)",4,osm_active,54.57928313473404,39.68853271100462
Железнодорожный,Газпромнефть — работает (24/7),4,osm_active,54.58169687474903,39.693233915008165
Железнодорожный,Магазин для магазинов — работает (Mo-Fr 09:00-18:00),4,osm_active,54.57976362085188,39.69841688580079
Железнодорожный,Магазин для магазинов — работает (Mo-Fr 09:00-18:00),4,osm_active,54.587200991237516,39.68911907476421
Железнодорожный,ООО «КРИАЛ» — работает (Mo-Su 08:00-22:00),4,osm_active,54.585630707214406,39.69106597152147
Железнодорожный,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,54.5830564299643,39.689906733398814
Железнодорожный,Ozon — работает (Mo-Fr 08:00-20:00; Sa 09:00-18:00; Su 10:00-18:00),4,osm_active,54.583073331486666,39.68511774354995
Железнодорожный,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,54.58255809626881,39.68848612669516
Железнодорожный,Красное&Белое — работает (Mo-Su 08:00-22:00),4,osm_active,54.586697233059674,39.687414472682896
Железнодорожный,Мало магазинов (4),2,infra,54.58725567453203,39.688694721170606
Железнодорожный,Транспорт редкий (6),3,infra,54.5847319871879,39.692523050393696
Железнодорожный,Парков нет,2,infra,54.58481489793732,39.69211223738391
Железнодорожный,Нет поликлиники,2,infra,54.58566371946752,39.69277704925171
Железнодорожный,Аптек нет,1,infra,54.58018418907442,39.68971444245434
Железнодорожный,Нет школ/садиков,1,infra,54.58386869647587,39.69319178841522
Железнодорожный,Кафе нет,2,infra,54.58169870184399,39.69227696608661
Московский,Роснефть — работает (24/7),4,osm_active,54.66207909602555,39.61749792612235
Московский,Мужская парикмахерская — работает (Mo-Su 08:00-19:00),4,osm_active,54.65799247498734,39.618189373280536
Московский,Женская парикмахерская — работает (Mo-Sa 08:00-19:00; Su 08:00-17:00),4,osm_active,54.65929592915038,39.62160950208481
Московский,Живое пиво — работает (Mo-Su 10:00-23:00),4,osm_active,54.65222412021529,39.61691328626454
Московский,"Марко Поло — работает (Mo-Su 00:00-06:00,12:00-24:00)",4,osm_active,54.661975141041914,39.62041220569123
Московский,Продукты — работает (Mo-Su 09:00-21:00),4,osm_active,54.6589639261874,39.62432338636427
Московский,Алка — работает (Mo-Su 09:00-22:00),4,osm_active,54.653623997456215,39.6231127876119
Московский,Афродита — работает (Mo-Su 10:00-20:00),4,osm_active,54.65441246053687,39.61747786783635
Московский,Катрин — работает (Mo-Su 09:00-21:00),4,osm_active,54.659892520330615,39.619422325424
Московский,Промтовары — работает (Mo-Su 09:00-20:00),4,osm_active,54.65584242233933,39.618802157610055
Московский,Ателье по ремонту обуви №2 — работает (Mo-Fr 09:00-17:00; Sa 09:00-14:00),4,osm_active,54.66112646566444,39.62185389880228
Московский,Сорока — работает (Mo-Su 08:00-23:00),4,osm_active,54.6632723800319,39.624343646758064
Московский,Роспечать — работает (Mo-Fr 07:00-19:00; Sa 07:00-17:00; Su 08:00-18:00),4,osm_active,54.662274726310045,39.614906525958745
Московский,Пятёрочка — работает (Mo-Su 09:00-22:00),4,osm_active,54.66107444139262,39.62019702901748
Московский,Мельник — работает (Mo-Su 07:00-23:00),4,osm_active,54.65719984797758,39.62285356481943
Московский,Закусочная — работает (Mo-Su 08:00-20:00),4,osm_active,54.6582011369892,39.62516895815704
Московский,Закусочная — работает (Mo-Su 08:00-22:00),4,osm_active,54.65993560284474,39.62472205589269
Московский,Библиотека - филиал №14 — работает (Mo-Fr 12:00-19:00; Sa 10:00-18:00),4,osm_active,54.659368901696205,39.62045833094259
Московский,Есть Библиотека - филиал №14 (library),4,osm_positive,54.655875889081244,39.6145459101888
Московский,"Ключ Здоровья — работает (Mo-Su 10:00-14:00,15:00-20:00)",4,osm_active,54.649702253268956,39.621277181517414
Московский,Библиотека - филиал №3 — работает (Mo-Su 12:00-19:00; Fr off),4,osm_active,54.65703470639072,39.622463090155826
Московский,Есть Библиотека - филиал №3 (library),4,osm_positive,54.65767076413745,39.6191672473313
Московский,Практик-Дент — работает (Mo-Fr 09:00-18:00),4,osm_active,54.661684164981736,39.61972948161612
Московский,"Ключ Здоровья — работает (Mo-Su 10:00-14:00,15:00-20:00)",4,osm_active,54.657454604473244,39.62140958623726
Московский,ЛидерPRO — работает (Mo-Su 09:00-20:00),4,osm_active,54.6574235582936,39.617572041509305
Московский,Продукты — работает (Mo-Su 09:00-22:00),4,osm_active,54.653609767863024,39.62348337614148
Московский,Эльвира — работает (Mo-Su 11:00-23:00),4,osm_active,54.65488947870936,39.623246781007744
Московский,"""Красное&Белое"" — работает (Mo-Su 09:00-22:00)",4,osm_active,54.662821967886025,39.623245297288435
Московский,"""Красное&Белое"" — работает (Mo-Su 09:00-22:00)",4,osm_active,54.652869182042586,39.614177883020176
Московский,Камазапчасть — работает (Mo-Fr 08:00-17:00),4,osm_active,54.65613910751152,39.62259167316843
Московский,"Ремшинторг, шинный центр — работает (Mo-Su 08:00-21:00)",4,osm_active,54.655220192601874,39.623986238186916
Московский,Тракт — работает (Mo-Su 09:00-20:00),4,osm_active,54.65967151027634,39.621517685653245
Московский,Дикси — работает (Mo-Su 08:00-22:00),4,osm_active,54.6601313323725,39.61986658604601
