district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Василеостровский,59.939275,30.243876,262434,preset,district,Василеостровский,21,0.08,24,0.091,3,0.011,9,0.034,56,0.213,81,0.309,20,0.076,14,0.053,6,0.023,2,0.008,5,0.019,12,0.046,4,0.015,48,0.183,37,0.141,4,0.015,58,0.221,193,0.735,26,0.099,60,0.229,87,0.332,2,18.5,21.9,0.8,49.6,54.2,1084,3.92,0.929,0.913,0.054,Медицина,Транспорт,Магазины,71.7,49.5,98.2,65.5,78.3,92.8,96.9,87.3,79.4,A,1,2.2875989507046466,-0.3716262542311693
Адмиралтейский,59.918443,30.302795,576694,preset,district,Адмиралтейский,35,0.061,57,0.099,5,0.009,16,0.028,78,0.135,334,0.579,94,0.163,23,0.04,19,0.033,2,0.003,14,0.024,17,0.029,12,0.021,80,0.139,57,0.099,9,0.016,88,0.153,156,0.271,30,0.052,46,0.08,105,0.182,2,18.5,21.9,0.8,49.4,48.3,2944,3.77,0.861,0.849,0.127,Медицина,Магазины,ЖКХ,70.8,50.6,99.9,63.6,77.8,89.9,97.0,80.3,77.7,A,1,1.951960021097138,-1.042576511933499
Выборгский,60.038701,30.335476,125798,preset,district,Выборгский,19,0.151,30,0.238,3,0.024,25,0.199,61,0.485,51,0.405,24,0.191,27,0.215,2,0.016,1,0.008,0,0.0,12,0.095,4,0.032,78,0.62,41,0.326,12,0.095,15,0.119,155,1.232,16,0.127,72,0.572,83,0.66,2,18.5,21.7,0.9,46.1,51.2,1520,3.94,0.884,0.88,0.112,Медицина,Магазины,ЖКХ,77.1,37.9,98.4,70.0,81.1,90.5,78.0,83.3,77.3,A,1,1.945444502162018,0.03471407804751651
Невский,59.870794,30.466033,155010,preset,district,Невский,9,0.058,13,0.084,2,0.013,5,0.032,33,0.213,34,0.219,16,0.103,10,0.065,7,0.045,1,0.006,1,0.006,10,0.065,1,0.006,49,0.316,36,0.232,3,0.019,11,0.071,100,0.645,11,0.071,40,0.258,73,0.471,2,18.9,22.6,0.8,48.6,39.4,496,3.85,0.885,0.865,0.095,Медицина,ЖКХ,Освещение,72.3,49.7,90.3,67.3,76.5,91.2,83.2,83.0,76.5,A,1,1.7984691648929187,-0.44634847462899835
Петроградский,59.964234,30.28582,344415,preset,district,Петроградский,21,0.061,24,0.07,2,0.006,25,0.073,43,0.125,168,0.488,77,0.224,18,0.052,8,0.023,1,0.003,7,0.02,9,0.026,2,0.006,41,0.119,30,0.087,4,0.012,59,0.171,110,0.319,38,0.11,58,0.168,86,0.25,2,18.5,21.9,0.8,48.2,42.4,2051,3.72,0.838,0.828,0.153,Медицина,Транспорт,ЖКХ,70.6,49.9,93.9,64.5,77.9,88.9,91.7,77.9,76.1,A,1,1.7061957304324986,-1.0565039572283124
Центральный,59.935826,30.3546,545598,preset,district,Центральный,38,0.07,52,0.095,5,0.009,47,0.086,81,0.148,522,0.957,306,0.561,83,0.152,15,0.027,10,0.018,32,0.059,35,0.064,18,0.033,127,0.233,64,0.117,10,0.018,74,0.136,131,0.24,31,0.057,33,0.06,118,0.216,2,18.5,21.9,0.8,50.5,33.6,5192,3.62,0.785,0.775,0.205,Медицина,ЖКХ,Магазины,71.4,50.7,99.9,64.0,73.6,86.8,100.0,72.7,76.0,A,1,1.5493271943682319,-1.6785752537535246
Калининский,60.005057,30.404318,139462,preset,district,Калининский,16,0.115,24,0.172,0,0.0,8,0.057,34,0.244,25,0.179,13,0.093,20,0.143,4,0.029,1,0.007,0,0.0,10,0.072,1,0.007,45,0.323,28,0.201,7,0.05,22,0.158,104,0.746,10,0.072,65,0.466,52,0.373,2,18.8,22.3,1.0,42.4,62.5,813,3.9,0.883,0.876,0.109,Медицина,ЖКХ,Озеленение,72.8,47.1,72.3,66.0,85.1,90.6,77.9,83.0,74.8,A,1,1.7546589816672518,-0.14306267988331886
Кронштадтский,59.987287,29.775984,363261,preset_missing,district,Кронштадтский,6,0.017,5,0.014,4,0.011,3,0.008,13,0.036,31,0.085,5,0.014,7,0.019,3,0.008,0,0.0,2,0.006,3,0.008,2,0.006,25,0.069,13,0.036,2,0.006,36,0.099,72,0.198,5,0.014,31,0.085,32,0.088,2,17.9,20.4,0.8,46.9,30.6,215,3.99,0.9,0.87,0.07,Медицина,Магазины,ЖКХ,66.3,38.3,87.7,62.4,76.4,91.3,81.0,85.3,73.7,A,1,1.1750011835339413,0.0909832769582746
Фрунзенский,59.866191,30.392199,151241,preset,district,Фрунзенский,20,0.132,37,0.245,0,0.0,8,0.053,58,0.383,35,0.231,12,0.079,17,0.112,4,0.026,2,0.013,1,0.007,17,0.112,0,0.0,52,0.344,46,0.304,10,0.066,20,0.132,192,1.269,11,0.073,80,0.529,62,0.41,2,18.5,21.9,0.8,46.6,59.1,1185,3.62,0.773,0.765,0.218,Медицина,ЖКХ,Магазины,74.3,48.8,72.3,66.5,81.4,86.3,88.6,71.7,73.4,A,1,1.4348556388446616,-1.2039989294549212
Пушкинский,59.731838,30.424492,571511,preset_missing,district,Пушкинский,6,0.01,10,0.017,2,0.003,5,0.009,15,0.026,24,0.042,15,0.026,9,0.016,3,0.005,0,0.0,0,0.0,4,0.007,1,0.002,17,0.03,17,0.03,2,0.003,10,0.017,53,0.093,0,0.0,24,0.042,57,0.1,2,18.7,22.0,0.9,49.9,36.5,393,3.88,0.875,0.86,0.109,Медицина,Транспорт,Магазины,68.1,38.2,89.9,62.7,74.7,90.4,59.9,82.3,71.2,A,1,0.7256203599943907,0.03517915429105489
Кировский,59.869887,30.234447,169616,preset,district,Кировский,4,0.024,8,0.047,0,0.0,2,0.012,16,0.094,10,0.059,4,0.024,5,0.029,1,0.006,1,0.006,3,0.018,4,0.024,0,0.0,14,0.083,15,0.088,2,0.012,13,0.077,80,0.472,5,0.029,16,0.094,45,0.265,2,18.5,21.9,0.8,50.5,24.7,442,3.9,0.879,0.864,0.106,Медицина,ЖКХ,Магазины,66.4,26.2,55.8,64.6,70.5,89.7,86.5,82.7,68.8,A,0,0.2534296581249496,0.6758892056116889
Московский,59.827802,30.31652,152654,preset,district,Московский,6,0.039,8,0.052,0,0.0,5,0.033,23,0.151,23,0.151,6,0.039,2,0.013,0,0.0,0,0.0,0,0.0,7,0.046,0,0.0,25,0.164,24,0.157,2,0.013,10,0.066,77,0.504,6,0.039,13,0.085,39,0.255,2,18.5,21.9,0.8,51.1,21.8,478,3.88,0.899,0.887,0.09,Медицина,Магазины,Озеленение,61.0,21.8,69.1,64.5,68.7,90.9,71.2,84.3,67.5,B,0,-0.09106725068106969,1.037385943566785
Петродворцовый,59.876206,29.848352,422155,preset_missing,district,Петродворцовый,2,0.005,2,0.005,0,0.0,2,0.005,9,0.021,7,0.017,3,0.007,1,0.002,0,0.0,0,0.0,0,0.0,2,0.005,0,0.0,11,0.026,14,0.033,1,0.002,5,0.012,53,0.126,4,0.009,25,0.059,60,0.142,2,18.0,20.8,0.7,41.8,45.3,126,3.98,0.885,0.849,0.079,Медицина,ЖКХ,Освещение,50.9,20.6,52.1,63.2,81.8,91.0,62.6,84.0,64.7,B,0,-0.21358691726297188,1.4258594652221208
Приморский,60.02342,30.194757,256309,preset_missing,district,Приморский,2,0.008,7,0.027,0,0.0,0,0.0,10,0.039,5,0.02,1,0.004,0,0.0,0,0.0,0,0.0,0,0.0,3,0.012,0,0.0,6,0.023,7,0.027,0,0.0,3,0.012,37,0.144,1,0.004,9,0.035,23,0.09,2,18.3,21.1,0.8,41.9,18.8,118,4.02,0.962,0.941,0.017,Медицина,Магазины,Транспорт,48.3,21.0,43.2,61.4,69.1,83.4,48.1,90.8,60.7,B,3,-1.2976205432657313,1.886474576990398
Красногвардейский,59.978284,30.486584,255837,preset,district,Красногвардейский,1,0.004,0,0.0,0,0.0,1,0.004,2,0.008,3,0.012,0,0.0,1,0.004,0,0.0,0,0.0,0,0.0,1,0.004,0,0.0,6,0.023,4,0.016,0,0.0,4,0.016,14,0.055,1,0.004,3,0.012,21,0.082,2,18.9,22.6,0.8,46.0,15.9,52,3.98,0.904,0.865,0.058,Магазины,Транспорт,Озеленение,40.9,20.5,27.5,60.6,66.2,76.1,46.9,85.7,55.7,B,3,-2.237764910528657,1.6104023420473976
Красносельский,59.781764,30.121184,481521,preset_missing,district,Красносельский,2,0.004,1,0.002,0,0.0,1,0.002,0,0.0,1,0.002,1,0.002,0,0.0,0,0.0,0,0.0,0,0.0,2,0.004,0,0.0,6,0.012,6,0.012,1,0.002,2,0.004,17,0.035,0,0.0,20,0.042,25,0.052,2,18.3,21.2,0.8,44.3,27.7,104,3.94,0.865,0.846,0.115,Медицина,Магазины,Транспорт,46.7,20.5,22.7,61.4,67.4,76.1,39.2,81.8,54.9,B,3,-2.2945105468437674,1.434634539829129
Колпинский,59.777614,30.624787,256309,preset_missing,district,Колпинский,2,0.008,4,0.016,1,0.004,0,0.0,2,0.008,1,0.004,0,0.0,1,0.004,1,0.004,0,0.0,0,0.0,1,0.004,0,0.0,4,0.016,5,0.02,0,0.0,3,0.012,22,0.086,1,0.004,7,0.027,17,0.066,2,18.9,22.4,0.9,49.8,12.9,49,3.9,0.806,0.735,0.122,Освещение,Магазины,Транспорт,40.0,25.5,33.6,57.5,59.1,70.5,43.5,76.5,52.8,C,3,-2.955696753906671,0.5052960942216379
