district,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct
Адмиралтейский,2,18.5,21.9,0.8,49.4,48.3
Василеостровский,2,18.5,21.9,0.8,49.6,54.2
Выборгский,2,18.5,21.7,0.9,46.1,51.2
Калининский,2,18.8,22.3,1.0,42.4,62.5
Кировский,2,18.5,21.9,0.8,50.5,24.7
Красногвардейский,2,18.9,22.6,0.8,46.0,15.9
Московский,2,18.5,21.9,0.8,51.1,21.8
Невский,2,18.9,22.6,0.8,48.6,39.4
Петроградский,2,18.5,21.9,0.8,48.2,42.4
Фрунзенский,2,18.5,21.9,0.8,46.6,59.1
Центральный,2,18.5,21.9,0.8,50.5,33.6
Колпинский,2,18.9,22.4,0.9,49.8,12.9
Красносельский,2,18.3,21.2,0.8,44.3,27.7
Кронштадтский,2,17.9,20.4,0.8,46.9,30.6
Курортный,2,18.3,21.1,0.8,47.8,10.0
Петродворцовый,2,18.0,20.8,0.7,41.8,45.3
Приморский,2,18.3,21.1,0.8,41.9,18.8
Пушкинский,2,18.7,22.0,0.9,49.9,36.5
