district,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3
Адмиралтейский,2944,3.77,0.861,0.849,0.127,Медицина,Магазины,ЖКХ
Василеостровский,1084,3.92,0.929,0.913,0.054,Медицина,Транспорт,Магазины
Выборгский,1520,3.94,0.884,0.88,0.112,Медицина,Магазины,ЖКХ
Калининский,813,3.9,0.883,0.876,0.109,Медицина,ЖКХ,Озеленение
Кировский,442,3.9,0.879,0.864,0.106,Медицина,ЖКХ,Магазины
Красногвардейский,52,3.98,0.904,0.865,0.058,Магазины,Транспорт,Озеленение
Московский,478,3.88,0.899,0.887,0.09,Медицина,Магазины,Озеленение
Невский,496,3.85,0.885,0.865,0.095,Медицина,ЖКХ,Освещение
Петроградский,2051,3.72,0.838,0.828,0.153,Медицина,Транспорт,ЖКХ
Фрунзенский,1185,3.62,0.773,0.765,0.218,Медицина,ЖКХ,Магазины
Центральный,5192,3.62,0.785,0.775,0.205,Медицина,ЖКХ,Магазины
Колпинский,49,3.9,0.806,0.735,0.122,Освещение,Магазины,Транспорт
Красносельский,104,3.94,0.865,0.846,0.115,Медицина,Магазины,Транспорт
Кронштадтский,215,3.99,0.9,0.87,0.07,Медицина,Магазины,ЖКХ
Курортный,9,1.44,0.5,0.0,0.0,Магазины,Транспорт,Озеленение
Петродворцовый,126,3.98,0.885,0.849,0.079,Медицина,ЖКХ,Освещение
Приморский,118,4.02,0.962,0.941,0.017,Медицина,Магазины,Транспорт
Пушкинский,393,3.88,0.875,0.86,0.109,Медицина,Транспорт,Магазины
