district,text,rating,source,lat,lon,sentiment_label,sentiment_score,sentiment_numeric
Адмиралтейский,Контакт Бар — работает (14:00-02:00),4,osm_active,59.915227256037774,30.300706985981257,POSITIVE,1.0,1.0
Адмиралтейский,У театра — работает (24/7),4,osm_active,59.92061804573843,30.3049856603269,POSITIVE,1.0,1.0
Адмиралтейский,У театра — недоступен,2,osm_access,59.91637814726656,30.30145425064556,NEGATIVE,0.0,0.0
Адмиралтейский,maSKa — работает (10:00-22:00),4,osm_active,59.91482405136909,30.30470356749477,POSITIVE,1.0,1.0
Адмиралтейский,Витал — работает (Mo-Fr 09:00-22:00; Sa-Su 10:00-21:00),4,osm_active,59.92047834022699,30.297532936354635,POSITIVE,1.0,1.0
Адмиралтейский,Адамант Медицинская Клиника — работает (08:00-21:00),4,osm_active,59.917284150959816,30.30821901226305,POSITIVE,1.0,1.0
Адмиралтейский,"Bier König — работает (Su-Th 12:00-01:00, Fr-Sa 12:00-02:00)",4,osm_active,59.918418422739336,30.307130679469008,POSITIVE,1.0,1.0
Адмиралтейский,Хао Вэй — недоступен,2,osm_access,59.917896121792424,30.3025857179308,NEGATIVE,0.0,0.0
Адмиралтейский,Азия плов — работает (10:00-23:00),4,osm_active,59.92009788218422,30.309656770403436,POSITIVE,1.0,1.0
Адмиралтейский,Mossmoda — работает (10:00-21:00),4,osm_active,59.9169531073604,30.30228129157834,POSITIVE,1.0,1.0
Адмиралтейский,Shamrock — работает (Mo-Su 11:00-02:00),4,osm_active,59.91890549522528,30.302400596537787,POSITIVE,1.0,1.0
Адмиралтейский,Shamrock — недоступен,2,osm_access,59.92177836271937,30.303797689657316,NEGATIVE,0.0,0.0
Адмиралтейский,Минимаркет — работает (24/7),4,osm_active,59.9180020989651,30.305838012006415,POSITIVE,1.0,1.0
Адмиралтейский,Минимаркет — недоступен,2,osm_access,59.919225539420346,30.29915726985013,NEGATIVE,0.0,0.0
Адмиралтейский,РеалЪ — работает (Mo-Su 09:00-23:00),4,osm_active,59.9214822619091,30.30273641222833,POSITIVE,1.0,1.0
Адмиралтейский,Хорошая связь — работает (09:00-23:00),4,osm_active,59.92174166963437,30.306419131946058,POSITIVE,1.0,1.0
Адмиралтейский,Хорошая связь — недоступен,2,osm_access,59.925204777784536,30.305116096831373,NEUTRAL,0.5,0.5
Адмиралтейский,Санкт-Петербург 190031 — работает (Mo-Fr 09:00-21:00; Sa-Su 10:00-21:00),4,osm_active,59.91737764284115,30.30031096125816,POSITIVE,1.0,1.0
Адмиралтейский,Есть Каро 9 (cinema),4,osm_positive,59.91485350141344,30.30802763912772,NEUTRAL,0.5,0.5
