district,text,rating,source,lat,lon
Центральный,Сочи 354000 — работает (Mo-Fr 08:00-22:00; Sa-Su 09:00-18:00),4,osm_active,43.589422595538764,39.71710107975198
Центральный,Променад — работает (10:00-02:00),4,osm_active,43.581318771074194,39.71626353325012
Центральный,Вкусно — и точка — работает (closed),4,osm_active,43.583650354093834,39.72323896902173
Центральный,Автовокзал — доступен,5,osm_access,43.58633980485902,39.722583057395326
Центральный,Скорпион-1 — работает (Mo-Su 08:30-21:00),4,osm_active,43.58110093274152,39.71800017623676
Центральный,"Фотоцентр ""Фото-мир"" — доступен",5,osm_access,43.58446488505652,39.7226076580161
Центральный,Столовая на Роз — работает (07:30-21:30),4,osm_active,43.585530445269725,39.728471421733694
Центральный,Стоматология — работает (Mo-Fr 09:00-17:00),4,osm_active,43.58276803136869,39.728340347420776
Центральный,Альфа-Банк — работает (Mo-Fr 09:00-20:00; Sa 09:00-18:00; Su off),4,osm_active,43.585322193186485,39.72012498615449
Центральный,Магнит — работает (09:00-21:00),4,osm_active,43.58702089687357,39.72264767222088
Центральный,"Сбербанк — работает (Mo-Tu,Th-Sa 09:00-19:00; We 09:00-18:00)",4,osm_active,43.58555214214867,39.7191736098071
Центральный,Сбербанк — доступен,5,osm_access,43.584583973118015,39.72417511764277
Центральный,М.Видео — работает (Mo-Su 10:00-21:00),4,osm_active,43.5799887560388,39.72155991951537
Центральный,Белые ночи — доступен,5,osm_access,43.584052607888985,39.72292514685433
Центральный,ВТБ — работает (Mo-Fr 09:00-18:00; Sa 09:00-16:00; Su 10:00-15:00),4,osm_active,43.58874454943916,39.722201273899515
Центральный,ВТБ — недоступен,2,osm_access,43.58554451508856,39.71665866036897
Центральный,Зерно — работает (Mo-Su 08:30-21:00),4,osm_active,43.581146289491,39.72690972540406
Центральный,ВТБ — работает (Mo-Fr 09:00-19:00),4,osm_active,43.580749611851225,39.72903244850959
Центральный,ВТБ — доступен,5,osm_access,43.58323012724727,39.72179783711793
Центральный,Seafood market — работает (Mo-Su 09:00-01:00),4,osm_active,43.584941968927495,39.72479969558231
Центральный,Nippon House — работает (Mo-Su 11:00-24:00),4,osm_active,43.57891879118858,39.72007128546918
Центральный,Неро — работает (Mo-Su 08:00-20:00),4,osm_active,43.58654952612587,39.71976995474112
Центральный,Аурум — работает (Mo-Su 11:00-23:00),4,osm_active,43.588921567497906,39.72636785800385
Центральный,Скорпион-1 — работает (Mo-Sa 08:30-20:30; Su 08:30-20:00),4,osm_active,43.58294342099468,39.72253418404745
Центральный,Столовая — работает (Mo-Su 07:00-23:00),4,osm_active,43.589858827359095,39.72566259440909
Центральный,Мегафон — работает (Mo-Su 09:00-20:00),4,osm_active,43.58060380040095,39.723613171379284
Центральный,Профтекстиль — работает (Mo-Su 09:00-19:00),4,osm_active,43.586644049024066,39.72459008181831
Центральный,Мыльный мир — работает (Mo-Su 08:30-19:00),4,osm_active,43.58582385438572,39.726669970418875
Центральный,Чайхона №1 — работает (Mo-Su 11:30-23:00),4,osm_active,43.585136423073344,39.71952823805943
Центральный,Мюнхен Outlet — работает (10:00-20:00),4,osm_active,43.589207228375436,39.724753445729746
Центральный,Фрау Марта — работает (Mo-Su 11:00-23:00),4,osm_active,43.582486676518265,39.72479080940906
Центральный,KFC — работает (24/7),4,osm_active,43.591125791151754,39.72411271161634
Центральный,Fix Price — работает (Mo-Su 08:00-21:00),4,osm_active,43.588520113615814,39.72107723250962
Центральный,Асад Строй Маг — работает (Mo-Su 08:00-19:00),4,osm_active,43.58217449461704,39.72370746912504
Центральный,Сбербанк — работает (Mo-Fr 08:30-17:30; Sa 09:00-15:00),4,osm_active,43.58759948116007,39.7203478053036
Центральный,Сбербанк — работает (Mo-Sa 09:00-19:00),4,osm_active,43.58456458881792,39.72344960601814
Центральный,Сбербанк — доступен,5,osm_access,43.58398341074331,39.72272985053154
Центральный,Есть Детская библиотека (library),4,osm_positive,43.58601628908103,39.718347958196865
Центральный,Магнит — доступен,5,osm_access,43.5913225627505,39.724736014274
Центральный,Апрель — работает (Mo-Su 08:00-22:00),4,osm_active,43.584876412675925,39.72275863760797
Центральный,Прага — работает (Mo-Su 08:30-23:00),4,osm_active,43.582553414576125,39.72715435238655
Центральный,Ermenegildo Zegna — работает (Mo-Su 10:00-20:00),4,osm_active,43.58426296104026,39.72444115887792
Центральный,DNS — работает (Mo-Su 09:00-21:00),4,osm_active,43.58460812255962,39.72538061797167
Центральный,Сбербанк — работает (Mo-Fr 09:00-18:00;Sa 09:00-15:00),4,osm_active,43.58288844267535,39.714120388707144
Центральный,Сбербанк — доступен,5,osm_access,43.58247276620241,39.7237208507924
Центральный,РНКБ — работает (Mo-Fr 09:00-18:00),4,osm_active,43.58596913738986,39.722125295301566
Центральный,Магнит — работает (Mo-Su 08:00-22:00),4,osm_active,43.59042233463304,39.71985220331489
Центральный,Сбербанк — работает (Mo-Fr 09:00-19:00;Sa-Su 09:00-15:00),4,osm_active,43.586284174880674,39.72423922611695
