2026-02-25 09:35:02,333 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /search?q=%D0%9D%D0%BE%D0%B2%D0%BE%D0%B5+%D0%9F%D0%BE%D0%B1%D0%B5%D0%B4%D0%B8%D0%BB%D0%BE%D0%B2%D0%BE%2C+%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D1%8C&format=json&limit=1&accept-language=ru
2026-02-25 09:54:37,723 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /search?q=9-%D0%B9+%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B0%D0%BB%2C+%D0%A1%D0%B0%D0%BC%D0%B0%D1%80%D0%B0&format=json&limit=1&accept-language=ru
2026-02-25 10:05:45,565 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /osm/tools/overpass/api/interpreter
2026-02-25 10:05:46,010 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /1.x/?apikey=e27943f8-c65f-4361-8c7c-780e1bef1f63&geocode=%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%2C+%D0%9A%D0%BE%D1%80%D0%B4%D0%BD%D1%8B%D0%B9&format=json&results=5&ll=73.446292%2C54.960824&spn=0.015%2C0.015
2026-02-25 10:08:42,270 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /sparql?query=%0A++++SELECT+%3Fpop+WHERE+%7B%0A++++++%3Fcity+rdfs%3Alabel+%22%D0%A0%D0%BE%D1%81%D1%82%D0%BE%D0%B2-%D0%BD%D0%B0-%D0%94%D0%BE%D0%BD%D1%83%22%40ru+.%0A++++++%3Fcity+wdt%3AP1082+%3Fpop+.%0A++++%7D+ORDER+BY+DESC%28%3Fpop%29+LIMIT+1%0A++++&format=json
2026-02-25 10:18:24,662 [INFO] urbanpulse — Пропуск мета-зоны: городской округ Астрахань (admin=6)
2026-02-25 10:19:30,973 [INFO] urbanpulse — Пропуск мета-зоны: городской округ Астрахань (admin=6)
2026-02-25 10:23:42,242 [INFO] urbanpulse — Пропуск мета-зоны: Владивостокский городской округ (admin=6)
2026-02-25 10:27:43,405 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x10ebde350>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 10:28:05,422 [WARNING] urllib3.connectionpool — Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x10ebdf610>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 10:28:29,438 [WARNING] urllib3.connectionpool — Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x10ebdf750>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 10:29:11,642 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x10ebdefd0>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 10:29:33,656 [WARNING] urllib3.connectionpool — Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x10ebde490>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 10:29:57,669 [WARNING] urllib3.connectionpool — Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x10ebde5d0>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 10:30:39,708 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x11b105d10>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 10:31:01,722 [WARNING] urllib3.connectionpool — Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x11b105f90>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 10:31:25,736 [WARNING] urllib3.connectionpool — Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x11b106210>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
2026-02-25 10:32:14,590 [INFO] urbanpulse — Пропуск мета-зоны: городской округ Сочи (admin=6)
2026-02-25 10:38:11,416 [INFO] urbanpulse — Кэш содержит мусорные зоны — пересобираю
2026-02-25 10:40:44,637 [INFO] urbanpulse — Пропуск: Емар (too_far)
2026-02-25 10:40:44,639 [INFO] urbanpulse — Пропуск: Емар (too_far)
2026-02-25 10:40:44,639 [INFO] urbanpulse — Пропуск: Советский район (too_far)
2026-02-25 10:43:56,430 [INFO] urbanpulse — Пропуск: Адлер (too_far)
2026-02-25 10:43:56,431 [INFO] urbanpulse — Пропуск: Лазаревское (too_far)
2026-02-25 10:43:56,432 [INFO] urbanpulse — Пропуск: Аше (too_far)
2026-02-25 10:43:56,432 [INFO] urbanpulse — Пропуск: Чемитоквадже (too_far)
2026-02-25 10:43:56,433 [INFO] urbanpulse — Пропуск: Нижняя Хобза (too_far)
2026-02-25 10:43:56,433 [INFO] urbanpulse — Пропуск: Вардане (too_far)
2026-02-25 10:43:56,433 [INFO] urbanpulse — Пропуск: Тихоновка (too_far)
2026-02-25 10:43:56,434 [INFO] urbanpulse — Пропуск: Солоники (too_far)
2026-02-25 10:43:56,434 [INFO] urbanpulse — Пропуск: Глубокая Щель (too_far)
2026-02-25 10:43:56,434 [INFO] urbanpulse — Пропуск: Шахе (too_far)
2026-02-25 10:43:56,435 [INFO] urbanpulse — Пропуск: Головинка (too_far)
2026-02-25 10:43:56,435 [INFO] urbanpulse — Пропуск: Нижняя Беранда (too_far)
2026-02-25 10:43:56,435 [INFO] urbanpulse — Пропуск: Якорная Щель (too_far)
2026-02-25 10:43:56,435 [INFO] urbanpulse — Пропуск: Нижняя Детляжка (too_far)
2026-02-25 10:43:56,435 [INFO] urbanpulse — Пропуск: Голубые Дали (too_far)
2026-02-25 10:43:56,435 [INFO] urbanpulse — Пропуск: Магри (too_far)
2026-02-25 10:43:56,435 [INFO] urbanpulse — Пропуск: Верхнее Макопсе (too_far)
2026-02-25 10:43:56,435 [INFO] urbanpulse — Пропуск: Нижнее Макопсе (too_far)
2026-02-25 10:43:56,435 [INFO] urbanpulse — Пропуск: Совет-Квадже (too_far)
2026-02-25 10:43:56,435 [INFO] urbanpulse — Пропуск: Шхафит (too_far)
2026-02-25 10:43:56,435 [INFO] urbanpulse — Пропуск: Вишнёвка (too_far)
2026-02-25 10:43:56,435 [INFO] urbanpulse — Пропуск: Голубая Дача (too_small)
2026-02-25 10:43:56,438 [INFO] urbanpulse — Пропуск: Верхнеимеретинская бухта (too_far)
2026-02-25 10:43:56,439 [INFO] urbanpulse — Пропуск: Весёлое-Псоу (too_far)
2026-02-25 10:43:56,439 [INFO] urbanpulse — Пропуск: Мирный (too_far)
2026-02-25 10:43:56,439 [INFO] urbanpulse — Пропуск: Блиново (too_far)
2026-02-25 10:43:56,439 [INFO] urbanpulse — Пропуск: Калиновка (too_far)
2026-02-25 10:43:56,439 [INFO] urbanpulse — Пропуск: Макопсе (too_far)
2026-02-25 10:43:56,439 [INFO] urbanpulse — Пропуск: Курортный Городок (too_far)
2026-02-25 10:43:56,440 [INFO] urbanpulse — Пропуск: Курортный Городок (too_far)
2026-02-25 10:43:56,440 [INFO] urbanpulse — Пропуск: Мирный (too_far)
2026-02-25 10:43:56,440 [INFO] urbanpulse — Пропуск: Совет-Квадже (too_far)
2026-02-25 10:43:56,440 [INFO] urbanpulse — Пропуск: Шхафит (too_far)
2026-02-25 10:43:56,440 [INFO] urbanpulse — Пропуск: Глубокая Щель (too_far)
2026-02-25 10:43:56,440 [INFO] urbanpulse — Пропуск: Чемитоквадже (too_far)
2026-02-25 10:43:56,440 [INFO] urbanpulse — Пропуск: Хостинский внутригородской район (too_far)
2026-02-25 10:43:56,440 [INFO] urbanpulse — Пропуск: Лазаревский внутригородской район (too_far)
2026-02-25 10:43:56,440 [INFO] urbanpulse — Пропуск: Солоники (too_far)
2026-02-25 10:43:56,440 [INFO] urbanpulse — Пропуск: Вишнёвка (too_far)
2026-02-25 10:43:56,441 [INFO] urbanpulse — Пропуск: Магри (too_far)
2026-02-25 10:43:56,441 [INFO] urbanpulse — Пропуск: Якорная Щель (too_far)
2026-02-25 10:43:56,441 [INFO] urbanpulse — Пропуск: Вардане (too_far)
2026-02-25 10:43:56,441 [INFO] urbanpulse — Пропуск: Нижняя Беранда (too_far)
2026-02-25 10:43:56,441 [INFO] urbanpulse — Пропуск: Нижняя Хобза (too_far)
2026-02-25 10:43:56,441 [INFO] urbanpulse — Пропуск: Голубая Дача (too_small)
2026-02-25 10:43:56,441 [INFO] urbanpulse — Пропуск: Адлерский внутригородской район (too_far)
2026-02-25 10:43:56,441 [INFO] urbanpulse — Пропуск: Калиновка (too_far)
2026-02-25 10:43:56,441 [INFO] urbanpulse — Пропуск: Макопсе (too_far)
2026-02-25 10:43:56,441 [INFO] urbanpulse — Пропуск: Шахе (too_far)
2026-02-25 10:43:56,441 [INFO] urbanpulse — Пропуск: Нижняя Детляжка (too_far)
2026-02-25 10:43:56,441 [INFO] urbanpulse — Пропуск: Тихоновка (too_far)
2026-02-25 10:43:56,442 [INFO] urbanpulse — Пропуск: Аше (too_far)
2026-02-25 10:43:56,442 [INFO] urbanpulse — Пропуск: Головинка (too_far)
2026-02-25 10:43:56,442 [INFO] urbanpulse — Пропуск: Лазаревское (too_far)
2026-02-25 10:43:56,442 [INFO] urbanpulse — Пропуск: Адлер (too_far)
2026-02-25 10:43:56,442 [INFO] urbanpulse — Пропуск: Блиново (too_far)
2026-02-25 10:49:11,413 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<HTTPSConnection(host='overpass.openstreetmap.ru', port=443) at 0x11066f9d0>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=20)')': /api/interpreter
